Location,School Management,School Category,Academic Qualification,Professional Qualification,Female,Male,Female,Male,Female,Male,Total,Female,Male,Female,Male,Female,Male,Total,Female,Male,Female,Male,Female,Male,Total,Female,Male,Female,Male,Female,Male,Total,Female,Male,Female,Male,Total
All India,Department of Education,HSS (I-XII),Higher secondary,B.Ed. or equivalent,2,0,0,0,2,0,2,108,124,35,64,143,188,331,79,88,29,45,143,197,286,53,65,19,45,101,155,256,57,63,76,108,184
All India,Department of Education,HSS (I-XII),Higher secondary,Diploma/degree in special education,0,1,0,0,0,1,1,50,85,19,31,69,116,185,14,26,3,26,36,83,72,5,12,2,14,10,52,62,2,10,4,24,28
All India,Department of Education,HSS (I-XII),Higher secondary,Diploma or certificate in basic teachers training of a duration not less than two years,104,3,43,14,147,17,164,4257,6904,436,726,4736,7644,12380,605,663,24,87,1065,1476,2130,44,95,5,38,73,220,293,15,29,20,67,87
All India,Department of Education,HSS (I-XII),Higher secondary,M.Ed. or equivalent,0,0,0,0,0,0,0,3,5,2,0,5,5,10,6,5,4,0,12,5,24,3,2,1,6,8,8,16,8,6,9,12,21
All India,Department of Education,HSS (I-XII),Higher secondary,None,8,1,11,1,19,2,21,251,286,63,98,325,385,710,104,143,12,14,179,255,358,11,32,5,24,28,70,98,5,20,10,44,54
All India,Department of Education,HSS (I-XII),Higher secondary,Others,68,2,14,2,82,4,86,436,760,56,215,506,977,1483,98,155,37,225,191,595,382,40,69,11,52,88,346,434,19,43,30,95,125
All India,Department of Education,HSS (I-XII),Higher secondary,Pursuing any relevant professional course,7,0,0,0,7,0,7,57,45,24,53,81,98,179,56,48,10,12,90,113,180,4,7,1,3,15,22,37,0,1,1,4,5
All India,Department of Education,HSS (I-XII),Higher secondary,,59,2,3,1,62,3,65,171,184,17,28,191,213,404,19,29,3,2,39,59,78,2,7,1,0,6,9,15,0,4,1,4,5
All India,Department of Education,HSS (I-XII),M.Phil,Bachelor of Elementary Education (B.El.Ed.),0,0,0,0,0,0,0,3,1,0,1,3,2,5,3,1,1,0,4,2,8,2,0,1,0,4,0,4,3,3,4,3,7
All India,Department of Education,HSS (I-XII),M.Phil,B.Ed. or equivalent,1,1,1,0,2,1,3,23,9,21,23,45,32,77,164,70,294,152,479,245,958,290,160,241,333,825,645,1470,797,536,1038,869,1907
All India,Department of Education,HSS (I-XII),M.Phil,Diploma/degree in special education,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,0,2,1,4,3,1,1,0,5,1,6,2,1,3,1,4
All India,Department of Education,HSS (I-XII),M.Phil,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,0,0,0,0,0,12,4,3,2,15,6,21,9,6,0,0,12,8,24,3,0,0,0,3,0,3,1,1,1,1,2
All India,Department of Education,HSS (I-XII),M.Phil,M.Ed. or equivalent,0,1,0,0,0,1,1,4,4,2,5,6,9,15,22,20,43,29,67,54,134,53,33,54,45,150,107,257,210,140,264,185,449
All India,Department of Education,HSS (I-XII),M.Phil,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,3,3,11,6,2,3,2,3,7,9,16,25,21,27,24,51
All India,Department of Education,HSS (I-XII),M.Phil,Others,1,0,0,0,1,0,1,1,0,0,4,1,4,5,11,9,2,5,13,18,26,8,12,0,5,10,22,32,28,25,28,30,58
All India,Department of Education,HSS (I-XII),M.Phil,Pursuing any relevant professional course,0,0,0,0,0,0,0,0,0,2,0,2,0,2,1,0,3,3,6,3,12,0,1,2,1,5,5,10,2,0,4,1,5
All India,Department of Education,HSS (I-XII),M.Phil,,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,1,1,1,2,1,0,1,1,2
All India,Department of Education,HSS (I-XII),Ph.D,Bachelor of Elementary Education (B.El.Ed.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,4,2,0,4,2,2,2,6,8,0,2,2,4,6
All India,Department of Education,HSS (I-XII),Ph.D,B.Ed. or equivalent,0,0,0,0,0,0,0,12,6,20,12,32,18,50,57,62,54,78,131,152,262,113,112,207,292,374,482,856,329,380,536,672,1208
All India,Department of Education,HSS (I-XII),Ph.D,Diploma/degree in special education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,3,2,6,1,1,0,0,3,2,5,5,6,5,6,11
All India,Department of Education,HSS (I-XII),Ph.D,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,0,0,0,0,0,1,2,1,6,2,8,10,8,15,0,2,9,23,18,1,3,1,1,2,6,8,2,1,3,2,5
All India,Department of Education,HSS (I-XII),Ph.D,M.Ed. or equivalent,0,0,0,0,0,0,0,3,3,4,10,7,13,20,16,20,20,23,40,53,80,34,30,48,50,102,103,205,91,101,139,151,290
All India,Department of Education,HSS (I-XII),Ph.D,None,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,2,1,2,3,4,1,3,4,3,7,7,14,19,29,23,32,55
All India,Department of Education,HSS (I-XII),Ph.D,Others,0,0,0,0,0,0,0,2,0,2,1,4,1,5,5,4,3,2,10,7,20,10,4,4,4,17,10,27,25,17,29,21,50
All India,Department of Education,HSS (I-XII),Ph.D,Pursuing any relevant professional course,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,1,0,1,1,2,0,2,1,2,3
All India,Department of Education,HSS (I-XII),Ph.D,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,3,0,3
All India,Department of Education,HSS (I-XII),Post Doctoral,Bachelor of Elementary Education (B.El.Ed.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,3,3,6,0,0,0,0,1,1,2,0,0,0,0,0
All India,Department of Education,HSS (I-XII),Post Doctoral,B.Ed. or equivalent,0,0,0,0,0,0,0,5,0,6,3,11,3,14,9,11,8,18,23,32,46,10,10,21,54,39,82,121,24,31,45,85,130
All India,Department of Education,HSS (I-XII),Post Doctoral,Diploma/degree in special education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
All India,Department of Education,HSS (I-XII),Post Doctoral,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,2,1,5,0,2,1,7,8,1,0,1,2,3
All India,Department of Education,HSS (I-XII),Post Doctoral,M.Ed. or equivalent,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,2,1,4,1,0,4,2,5,2,7,11,4,15,6,21
All India,Department of Education,HSS (I-XII),Post Doctoral,None,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1
All India,Department of Education,HSS (I-XII),Post Doctoral,Others,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,0,0,1,2,3,2,1,2,1,3
All India,Department of Education,HSS (I-XII),Post Doctoral,Pursuing any relevant professional course,0,0,0,0,0,0,0,1,0,0,1,1,1,2,1,0,0,0,1,1,2,0,0,0,0,0,0,0,1,0,1,0,1
All India,Department of Education,HSS (I-XII),Post graduate,Bachelor of Elementary Education (B.El.Ed.),7,1,6,2,13,3,16,624,456,85,126,715,584,1299,265,222,56,61,406,409,812,211,159,73,124,340,344,684,149,163,222,287,509
All India,Department of Education,HSS (I-XII),Post graduate,B.Ed. or equivalent,115,8,36,18,151,26,177,2739,2360,3946,5173,6721,7551,14272,8927,7431,8738,15058,21611,27662,43222,11271,11451,12595,27957,32604,54466,87070,16985,21285,29580,49242,78822
All India,Department of Education,HSS (I-XII),Post graduate,Diploma/degree in special education,1,0,1,0,2,0,2,30,36,27,55,58,91,149,95,82,31,59,153,196,306,74,70,33,55,138,184,322,162,69,195,124,319
All India,Department of Education,HSS (I-XII),Post graduate,Diploma or certificate in basic teachers training of a duration not less than two years,41,0,36,7,77,7,84,2699,1755,366,652,3101,2414,5515,653,1120,57,150,1076,1922,2152,299,495,138,212,494,857,1351,171,298,309,510,819
All India,Department of Education,HSS (I-XII),Post graduate,M.Ed. or equivalent,3,0,1,0,4,0,4,127,59,130,126,258,185,443,486,286,404,380,1020,792,2040,721,555,798,1306,1923,2241,4164,1675,1460,2473,2766,5239
All India,Department of Education,HSS (I-XII),Post graduate,None,1,0,3,0,4,0,4,73,49,32,61,108,110,218,75,96,98,112,205,269,410,121,170,213,451,432,733,1165,419,565,632,1016,1648
All India,Department of Education,HSS (I-XII),Post graduate,Others,25,0,15,7,40,7,47,214,235,125,295,354,537,891,354,406,166,379,645,1080,1290,317,372,217,397,700,1148,1848,929,914,1146,1311,2457
All India,Department of Education,HSS (I-XII),Post graduate,Pursuing any relevant professional course,0,0,0,0,0,0,0,18,14,13,46,31,60,91,23,51,32,42,68,139,136,13,17,21,36,66,95,161,31,40,52,76,128
All India,Department of Education,HSS (I-XII),Post graduate,,75,1,1,1,76,2,78,123,87,25,38,149,126,275,48,70,17,13,90,121,180,25,44,29,46,71,103,174,18,30,47,76,123
All India,Department of Education,HSS (I-XII),,Bachelor of Elementary Education (B.El.Ed.),2,0,5,0,7,0,7,88,72,2,4,95,76,171,32,24,0,1,34,29,68,4,10,1,1,5,12,17,0,1,1,2,3
All India,Department of Education,HSS (I-XII),,B.Ed. or equivalent,0,0,3,0,3,0,3,32,29,11,16,46,45,91,21,19,4,13,36,48,72,31,70,6,11,41,94,135,5,11,11,22,33
All India,Department of Education,HSS (I-XII),,Diploma/degree in special education,0,0,0,0,0,0,0,10,10,3,6,13,16,29,7,3,2,1,12,10,24,6,3,0,2,8,6,14,1,2,1,4,5
All India,Department of Education,HSS (I-XII),,Diploma or certificate in basic teachers training of a duration not less than two years,37,0,4,0,41,0,41,403,330,44,56,451,386,837,112,81,3,8,159,145,318,15,14,0,3,18,25,43,1,6,1,9,10
All India,Department of Education,HSS (I-XII),,M.Ed. or equivalent,0,0,0,0,0,0,0,1,0,1,0,2,0,2,1,2,0,0,2,2,4,0,3,0,0,0,3,3,1,0,1,0,1
All India,Department of Education,HSS (I-XII),,None,21,0,3,0,24,0,24,199,280,19,12,221,292,513,19,16,4,6,42,34,84,6,15,0,2,10,23,33,0,2,0,4,4
All India,Department of Education,HSS (I-XII),,Others,37,0,4,0,41,0,41,249,331,9,27,262,358,620,34,36,6,24,49,87,98,22,17,1,8,29,49,78,3,5,4,13,17
